,B02,B03,B08,B11,Clase
297,1341.0,1455.0,1410.0,1143.0,agua
298,1348.0,1456.0,1395.0,1139.0,agua
299,1345.0,1451.0,1398.0,1138.0,agua
300,1351.0,1460.0,1406.0,1138.0,agua
301,1328.0,1443.0,1406.0,1139.0,agua
302,1330.0,1439.0,1387.0,1132.0,agua
303,1364.0,1443.0,1386.0,1138.0,agua
304,1356.0,1458.0,1408.0,1144.0,agua
305,1371.0,1474.0,1424.0,1147.0,agua
306,1358.0,1461.0,1409.0,1145.0,agua
307,1346.0,1461.0,1404.0,1142.0,agua
308,1340.0,1461.0,1406.0,1140.0,agua
309,1339.0,1466.0,1412.0,1140.0,agua
310,1321.0,1454.0,1412.0,1141.0,agua
311,1340.0,1448.0,1407.0,1139.0,agua
312,1340.0,1414.0,1381.0,1126.0,agua
313,1332.0,1412.0,1383.0,1131.0,agua
314,1340.0,1428.0,1389.0,1138.0,agua
315,1358.0,1442.0,1403.0,1145.0,agua
316,1390.0,1488.0,1418.0,1149.0,agua
317,1356.0,1464.0,1414.0,1148.0,agua
318,1340.0,1468.0,1404.0,1145.0,agua
319,1353.0,1475.0,1406.0,1143.0,agua
320,1338.0,1451.0,1411.0,1142.0,agua
321,1338.0,1462.0,1419.0,1143.0,agua
322,1353.0,1469.0,1404.0,1141.0,agua
323,1338.0,1448.0,1405.0,1134.0,agua
324,1339.0,1412.0,1379.0,1122.0,agua
325,1316.0,1414.0,1378.0,1125.0,agua
326,1309.0,1432.0,1380.0,1131.0,agua
327,1342.0,1436.0,1389.0,1138.0,agua
328,1349.0,1446.0,1392.0,1147.0,agua
329,1370.0,1478.0,1418.0,1153.0,agua
330,1388.0,1464.0,1431.0,1152.0,agua
331,1353.0,1465.0,1394.0,1148.0,agua
332,1353.0,1465.0,1411.0,1145.0,agua
333,1330.0,1479.0,1422.0,1144.0,agua
334,1349.0,1452.0,1419.0,1144.0,agua
335,1340.0,1468.0,1403.0,1143.0,agua
336,1322.0,1466.0,1399.0,1137.0,agua
337,1328.0,1435.0,1381.0,1122.0,agua
338,1299.0,1435.0,1379.0,1125.0,agua
339,1325.0,1440.0,1376.0,1131.0,agua
340,1364.0,1443.0,1381.0,1139.0,agua
341,1349.0,1447.0,1385.0,1149.0,agua
342,1360.0,1457.0,1420.0,1156.0,agua
343,1374.0,1471.0,1426.0,1155.0,agua
344,1362.0,1469.0,1399.0,1150.0,agua
345,1361.0,1468.0,1419.0,1147.0,agua
346,1347.0,1480.0,1421.0,1146.0,agua
347,1333.0,1451.0,1413.0,1146.0,agua
348,1340.0,1451.0,1402.0,1145.0,agua
349,1358.0,1455.0,1398.0,1141.0,agua
350,1373.0,1458.0,1381.0,1136.0,agua
351,1354.0,1452.0,1378.0,1123.0,agua
352,1324.0,1443.0,1378.0,1126.0,agua
353,1343.0,1420.0,1380.0,1131.0,agua
354,1346.0,1439.0,1383.0,1139.0,agua
355,1334.0,1446.0,1396.0,1149.0,agua
356,1362.0,1445.0,1411.0,1156.0,agua
357,1362.0,1472.0,1411.0,1154.0,agua
358,1380.0,1462.0,1410.0,1150.0,agua
359,1361.0,1463.0,1418.0,1148.0,agua
360,1351.0,1480.0,1421.0,1147.0,agua
361,1346.0,1472.0,1409.0,1147.0,agua
362,1344.0,1464.0,1400.0,1147.0,agua
363,1347.0,1460.0,1400.0,1145.0,agua
364,1363.0,1454.0,1384.0,1142.0,agua
365,1328.0,1439.0,1378.0,1124.0,agua
366,1350.0,1435.0,1380.0,1127.0,agua
367,1337.0,1436.0,1385.0,1132.0,agua
368,1348.0,1422.0,1393.0,1139.0,agua
369,1372.0,1448.0,1399.0,1147.0,agua
370,1356.0,1451.0,1398.0,1153.0,agua
371,1362.0,1445.0,1412.0,1152.0,agua
372,1350.0,1466.0,1420.0,1149.0,agua
373,1338.0,1452.0,1412.0,1147.0,agua
374,1351.0,1482.0,1412.0,1147.0,agua
375,1353.0,1475.0,1404.0,1147.0,agua
376,1342.0,1462.0,1402.0,1147.0,agua
377,1344.0,1447.0,1395.0,1148.0,agua
378,1323.0,1429.0,1385.0,1145.0,agua
379,1322.0,1430.0,1380.0,1123.0,agua
380,1336.0,1436.0,1386.0,1128.0,agua
381,1327.0,1436.0,1384.0,1132.0,agua
382,1338.0,1430.0,1392.0,1137.0,agua
383,1316.0,1442.0,1400.0,1145.0,agua
384,1338.0,1470.0,1402.0,1150.0,agua
385,1363.0,1442.0,1414.0,1150.0,agua
386,1356.0,1451.0,1409.0,1148.0,agua
387,1372.0,1461.0,1412.0,1146.0,agua
388,1360.0,1467.0,1410.0,1144.0,agua
389,1350.0,1464.0,1399.0,1144.0,agua
390,1374.0,1458.0,1402.0,1145.0,agua
391,1380.0,1454.0,1393.0,1146.0,agua
392,1360.0,1453.0,1392.0,1143.0,agua
393,1336.0,1431.0,1380.0,1122.0,agua
394,1328.0,1443.0,1388.0,1128.0,agua
395,1336.0,1430.0,1396.0,1131.0,agua
396,1330.0,1431.0,1398.0,1135.0,agua
397,1318.0,1439.0,1399.0,1141.0,agua
398,1345.0,1461.0,1407.0,1147.0,agua
399,1360.0,1447.0,1408.0,1148.0,agua
400,1352.0,1451.0,1401.0,1145.0,agua
401,1352.0,1454.0,1405.0,1142.0,agua
402,1346.0,1444.0,1402.0,1140.0,agua
403,1346.0,1459.0,1390.0,1140.0,agua
404,1345.0,1457.0,1400.0,1141.0,agua
405,1340.0,1461.0,1389.0,1141.0,agua
406,1351.0,1463.0,1386.0,1138.0,agua
407,1332.0,1431.0,1383.0,1122.0,agua
408,1324.0,1430.0,1388.0,1127.0,agua
409,1314.0,1438.0,1396.0,1129.0,agua
410,1339.0,1438.0,1397.0,1132.0,agua
411,1336.0,1443.0,1402.0,1139.0,agua
412,1332.0,1444.0,1404.0,1144.0,agua
413,1350.0,1451.0,1402.0,1143.0,agua
414,1360.0,1447.0,1398.0,1139.0,agua
415,1343.0,1440.0,1397.0,1137.0,agua
416,1337.0,1446.0,1392.0,1136.0,agua
417,1344.0,1463.0,1385.0,1137.0,agua
418,1336.0,1462.0,1394.0,1137.0,agua
419,1336.0,1446.0,1388.0,1135.0,agua
420,1330.0,1442.0,1388.0,1125.0,agua
421,1336.0,1453.0,1396.0,1125.0,agua
422,1354.0,1430.0,1396.0,1128.0,agua
423,1324.0,1438.0,1398.0,1136.0,agua
424,1325.0,1434.0,1403.0,1142.0,agua
425,1319.0,1440.0,1396.0,1139.0,agua
426,1354.0,1444.0,1394.0,1134.0,agua
427,1320.0,1432.0,1390.0,1133.0,agua
428,1337.0,1438.0,1382.0,1134.0,agua
429,1344.0,1462.0,1384.0,1134.0,agua
430,1348.0,1460.0,1384.0,1132.0,agua
431,1336.0,1436.0,1385.0,1128.0,agua
432,1335.0,1434.0,1398.0,1122.0,agua
433,1344.0,1430.0,1396.0,1123.0,agua
434,1348.0,1436.0,1394.0,1133.0,agua
435,1327.0,1419.0,1394.0,1140.0,agua
436,1312.0,1440.0,1395.0,1138.0,agua
437,1336.0,1442.0,1393.0,1133.0,agua
438,1300.0,1428.0,1385.0,1133.0,agua
439,1312.0,1429.0,1376.0,1134.0,agua
440,1325.0,1441.0,1383.0,1132.0,agua
441,1336.0,1445.0,1376.0,1128.0,agua
442,1337.0,1450.0,1394.0,1119.0,agua
443,1336.0,1429.0,1395.0,1129.0,agua
444,1317.0,1429.0,1395.0,1139.0,agua
445,1331.0,1449.0,1402.0,1138.0,agua
446,1324.0,1441.0,1399.0,1134.0,agua
447,1309.0,1428.0,1386.0,1134.0,agua
448,1308.0,1418.0,1374.0,1134.0,agua
449,1162.0,1261.0,2054.0,1600.0,agua
450,1168.0,1257.0,1764.0,1497.0,agua
451,1148.0,1260.0,1678.0,1498.0,agua
452,1180.0,1242.0,1667.0,1497.0,agua
453,1180.0,1253.0,1478.0,1492.0,agua
454,1162.0,1225.0,1452.0,1580.0,agua
455,1236.0,1312.0,1478.0,1805.0,agua
456,1234.0,1315.0,1536.0,2009.0,agua
457,1207.0,1431.0,2684.0,1631.0,agua
458,1226.0,1360.0,2074.0,1573.0,agua
459,1244.0,1408.0,1726.0,1607.0,agua
460,1249.0,1360.0,1530.0,1903.0,agua
461,1196.0,1271.0,1334.0,1277.0,agua
462,1181.0,1238.0,1331.0,1313.0,agua
463,1177.0,1246.0,1354.0,1385.0,agua
464,1176.0,1286.0,1457.0,1475.0,agua
465,1198.0,1276.0,1319.0,1278.0,agua
466,1193.0,1264.0,1337.0,1214.0,agua
467,1191.0,1241.0,1305.0,1214.0,agua
468,1187.0,1256.0,1318.0,1244.0,agua
469,1206.0,1249.0,1310.0,1279.0,agua
470,1193.0,1246.0,1315.0,1312.0,agua
471,1214.0,1332.0,1625.0,1522.0,agua
472,1217.0,1276.0,1335.0,1301.0,agua
473,1201.0,1271.0,1307.0,1234.0,agua
474,1198.0,1259.0,1292.0,1239.0,agua
475,1202.0,1266.0,1302.0,1267.0,agua
476,1243.0,1281.0,1310.0,1284.0,agua
477,1222.0,1274.0,1322.0,1288.0,agua
478,1201.0,1300.0,1601.0,1582.0,agua
