Wavelength (nm),Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Reflectance_spct
633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919456,0.0,0.113696150481701
634,0.0,0.0,0.0,0.000117,0.0,0.0,0.0,0.92162,0.0,0.114077180624008
635,0.0,0.0,0.0,0.000554,0.0,0.0,0.0,0.919859,0.0,0.114469543099403
636,0.0,0.0,0.0,0.001402,0.0,0.0,0.0,0.908919,0.0,0.114839896559715
637,0.0,0.0,0.0,0.003205,0.0,0.0,0.0,0.902939,0.0,0.115191787481308
638,0.0,0.0,0.0,0.007333,0.0,0.0,0.0,0.909776,0.0,0.115546464920044
639,0.0,0.0,0.0,0.017702,0.0,0.0,0.0,0.914,0.0,0.115929186344147
640,0.0,0.0,0.0,0.046033,0.0,0.0,0.0,0.911734,0.0,0.116307534277439
641,0.0,0.0,0.0,0.123946,0.0,0.0,0.0,0.90929,0.0,0.116678938269615
642,0.0,0.0,0.0,0.31635,0.0,0.0,0.0,0.906294,0.0,0.117042019963264
